"EnvG_T2R1"	"EnvG_T2R2"	"EnvG_T2R3"	"EnvG_T2R4"	"EnvG_T2R5"	"EnvG_T2R6"	"EnvS_T2R1"	"EnvS_T2R2"	"EnvS_T2R3"	"EnvS_T2R4"	"EnvS_T2R5"	"EnvS_T2R6"	"GCT2B5"	"GCT2C7"	"GOT1A1"	"GOT1A8"	"GOT1B1"	"GOT1B3"	"GOT2A3"	"GOT2B1"	"GOT2C2"	"GOT2C6"	"GOT2C8"	"GOT4A1"	"GOT4A2"	"GOT4A6"	"GOT4A7"	"GOT4B1"	"GOT4B4"	"GOT4B5"	"GOT4B6"	"GOT4B7"	"GOT4C1"	"GOT4C2"	"GOT4C6"	"PCR+_10_10_20"	"PCR+_10_11_20"	"SCT4B3"	"SOT2A3"	"SOT2A5"	"SOT2A7"	"SOT2A8_dup_new_protocol"	"SOT2B8"	"SOT2C6"	"SOT4A6"	"SOT4A7"	"SOT4B5"	"SOT4C6"
"GOT1A8"	0.872996329477185	0.867719117959572	0.792169458251678	0.750070378751126	0.847152766843961	0.86560195746332	0.903162268204632	0.913310776429196	0.945604979316602	0.877159425037443	0.88371487939811	0.854112877687359	0.578230673337663	0.724117293384959	0.87409497604098	0	0.915813122278862	0.916684211710107	0.715323100857289	0.942072322705885	0.780637706702545	0.725948525796996	0.753408260854894	0.94478193726701	0.815614538036009	0.832063428133535	0.899226663558552	0.809786178123837	0.756302494365454	0.802604302443555	0.769725828736008	0.674398504390186	0.843428130149521	0.810415130111795	0.875189819031447	1	1	0.957411749722081	0.889634779340221	0.775532694196155	0.991963576406534	0.924845147343139	0.925906614409201	0.872355134805216	0.957755271720815	0.96256997795132	0.913597119133064	0.878884192859736
"GOT1B1"	0.957073862705332	0.943956703896771	0.940097482059862	0.929670011664982	0.950080282780436	0.957839477751109	0.930543470127767	0.965709667434742	0.972307286065407	0.946933332290098	0.956776805954286	0.968292164738201	0.871851467302747	0.879579712761189	0.898269805775797	0.915813122278862	0	0.728709019494485	0.900698043053954	0.822204453922735	0.801516146954862	0.880815582126339	0.927573401368231	0.635368422787083	0.948891820892028	0.953761560962215	0.961448666010761	0.6535810933181	0.885902818302805	0.906554560935833	0.893870449306653	0.926409008225876	0.944481914476438	0.926144171462153	0.85408642045615	1	1	0.940001331661577	0.94987268783487	0.845548474237925	0.964029810657301	0.90146525951635	0.931250504173859	0.927614409330633	0.982224668620745	0.961493795521788	0.904946824280997	0.90989205982127
"GOT1B3"	0.981535863671799	0.980994310841147	0.97282971473147	0.96105487863345	0.980042375241315	0.981049956704834	0.974150841080791	0.983787141790192	0.983877307573324	0.977329679831878	0.980862722375907	0.968271911416519	0.893755576849458	0.915404859416242	0.947875861084443	0.916684211710107	0.728709019494485	0	0.916922418965263	0.242913107580443	0.919792752663298	0.923898521596521	0.939527434905106	0.623455286204754	0.946101397031833	0.911785094595477	0.958510580936666	0.774678367405495	0.935879524638473	0.92976738717192	0.929955931712088	0.928537926638733	0.955449392746951	0.937582753279982	0.924356320968176	1	1	0.989621082423435	0.97399708297545	0.934820469429209	0.991666709127662	0.975630264019088	0.978749494099012	0.96496327591619	0.990245977088074	0.987072574737306	0.977621062783775	0.978936883635396
"GOT2A3"	0.756523343800544	0.693158984223401	0.613991454455439	0.579359204827835	0.720819574212906	0.772599267475001	0.885842336748614	0.831666379330222	0.908499527623502	0.759254525609996	0.742520673440007	0.837816120673911	0.668003741052563	0.465624802259408	0.874352105668991	0.715323100857289	0.900698043053954	0.916922418965263	0	0.957115789899128	0.717283816614779	0.684350102464285	0.455959086307322	0.9349739639199	0.773864991573996	0.746137422816075	0.860047648122494	0.818818371093493	0.612335218070907	0.581991640772238	0.543514947986401	0.575456723620712	0.657187719139253	0.576922462768091	0.726572482367382	1	1	0.963424126707234	0.732290159089167	0.609111549663009	0.987229838732689	0.913384699986195	0.867561479518271	0.874200234332244	0.963322989958415	0.929442139390655	0.900892837650849	0.785969013587242
"GOT2B1"	0.99153849564733	0.989665919160387	0.987541196912745	0.970802587391473	0.990851121656379	0.991253008551595	1	0.99246942987335	0.99327637419287	0.991422779713856	0.990180646852392	0.98530264159417	0.94521783437124	0.959049999402077	0.982720019105702	0.942072322705885	0.822204453922735	0.242913107580443	0.957115789899128	0	0.958718757501237	0.922865936624286	0.955340189940898	0.690127173315775	0.960355654954713	0.927237358835778	0.957948664438107	0.842738773175099	0.944986552791872	0.962780421035	0.965802788081744	0.938493236955161	0.979429675573614	0.972730139183714	0.958039050788534	1	1	0.988363106599668	0.979398321652792	0.980064270857431	1	0.98854541539934	0.98746142582594	1	0.989034157367585	0.9856187769619	1	0.987666780017864
"GOT2C2"	0.8781609102681	0.810082668634958	0.807350615699206	0.645168579723191	0.839805148376283	0.865103064500582	0.913494315111499	0.909068099717203	0.957541420513477	0.868468452739703	0.885080020732402	0.945109512855437	0.759937249989214	0.721531940922273	0.8033728017382	0.780637706702545	0.801516146954862	0.919792752663298	0.717283816614779	0.958718757501237	0	0.874881315255806	0.80875052442963	0.814459227361522	0.840386834675907	0.843268055072848	0.917382904179974	0.742213697916745	0.632075236800161	0.82252743672225	0.810143212881375	0.70595221410239	0.867582444451195	0.803530548083906	0.857165613596906	1	1	0.96404239919617	0.895268673891488	0.806623310291166	0.985571290692423	0.93003623915668	0.895436121691696	0.925888067331229	0.962285902961749	0.93196128612424	0.853437268741707	0.844632405048926
"GOT2C6"	0.86431537126956	0.874434755654563	0.769478617893983	0.796157003481972	0.845116171483318	0.866428361357971	0.902826923072478	0.914745268490622	0.939870368257055	0.867642063070493	0.873427345843963	0.848075689618188	0.712175927683126	0.714180992038901	0.91132616252866	0.725948525796996	0.880815582126339	0.923898521596521	0.684350102464285	0.922865936624286	0.874881315255806	0	0.650608245066661	0.948770028751429	0.78527828415109	0.816205268084589	0.892032701071296	0.891742377962447	0.703626303135289	0.671396855415897	0.702263261294755	0.686413240642332	0.814764926506665	0.76666775976615	0.675993172758668	1	1	0.949062311462008	0.867563028236374	0.672541652440693	0.960389310449465	0.898273409977688	0.883063030769241	0.769371523372057	0.9586682106947	0.901848023670689	0.905642445005915	0.825523157364223
"GOT2C8"	0.779059679162825	0.738341781403908	0.631610147724848	0.669685715559575	0.76630076884338	0.782192140336795	0.871801457774882	0.846659614649527	0.913870116331983	0.792324304791199	0.767720585083177	0.834910961924599	0.685008933525944	0.585432041049283	0.907986561098386	0.753408260854894	0.927573401368231	0.939527434905106	0.455959086307322	0.955340189940898	0.80875052442963	0.650608245066661	0	0.949838281233964	0.788629318111996	0.795746885448822	0.884153719467789	0.839928186300613	0.612979761698033	0.57488267546006	0.543476337828411	0.625291216017443	0.620501800481046	0.602634152591042	0.686882682648679	1	1	0.95403079850052	0.7348448632811	0.639451691422447	0.992903225647074	0.922737085046479	0.874228462373154	0.878729824187891	0.970818849352784	0.929674305628954	0.883792538377874	0.794447502394459
"GOT4A1"	0.974448533935737	0.968211336459234	0.964884731052782	0.939154817523128	0.970793378711034	0.976014099029283	0.954774846949853	0.971529189987607	0.977911159897266	0.956765411417182	0.966135843689994	0.978961141138074	0.900404916303445	0.948950128425785	0.781745279819396	0.94478193726701	0.635368422787083	0.623455286204754	0.9349739639199	0.690127173315775	0.814459227361522	0.948770028751429	0.949838281233964	0	0.944689344040251	0.944620150984164	0.915460549101615	0.739960894445321	0.92922847615904	0.936368643281953	0.951890771583186	0.958172005912986	0.96977132655887	0.95449283474357	0.950205747863611	1	1	0.99341307367541	0.976182458071834	0.933058433382914	0.981814771778185	0.954363307027545	0.961082933968159	0.970877845649522	1	0.980355593740464	0.94728145196523	0.95574161979202
"GOT4A2"	0.804301303842569	0.812209139174606	0.782787173304201	0.801971958545627	0.790637806619792	0.816119272309108	0.8272298977199	0.836614682803262	0.924935704966923	0.798037912237156	0.834215523319641	0.829443441143761	0.794440631876004	0.80769912422993	0.906588154639474	0.815614538036009	0.948891820892028	0.946101397031833	0.773864991573996	0.960355654954713	0.840386834675907	0.78527828415109	0.788629318111996	0.944689344040251	0	0.868430590694182	0.872680075431497	0.880827102151183	0.77856508956982	0.807519219088222	0.83277390470174	0.746723869957385	0.841986828705009	0.777812884501004	0.846238484667137	1	1	0.937049079522396	0.887082916896626	0.789548018565232	0.984269135014205	0.925829731893235	0.910937447626097	0.888376966313218	0.894025554426899	0.936423840772227	0.910479535204189	0.82389960633837
