"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"B3"	437.513367366073	277.987248973761	240.058708819322	239.080045173159	251.434641351496	276.398425762521	351.867448023005	550.349599004124	331.156335865706	110.385445288569	0	55.1927226442843	111.23595810708	168.158288882826	282.036509991171	509.822239711059	602.509323881382	474.224188672639	439.504452969478	432.01500495186	430.334787824033	435.102170410583	467.142174527437	598.884240654235
"B4"	489.888756377291	319.168696014436	265.008073584351	252.517401609385	252.28578010837	265.454483334191	324.288772402349	508.726071664855	386.34905850999	165.578167932853	55.1927226442843	0	56.0527629609419	112.993708808155	226.88928925702	454.687199861864	645.125514871503	503.493825634436	457.717837633138	443.667015789995	434.839836933094	432.131862666427	450.220664767845	563.244835678253
"B5"	544.028465762592	365.582266933176	299.856459273433	278.210522949798	266.556571370673	267.311431891717	305.487451145797	470.427149407855	442.385051510559	221.616584339309	111.23595810708	56.0527629609419	0	56.9500356452917	170.850106935875	398.650249517042	689.375763905288	536.264739557701	480.718597089815	460.630684746709	444.98853604809	434.844129812051	438.058023125806	529.273424460363
"B6"	599.701163347212	415.83377402996	342.019940763693	313.628831238456	292.793197411112	282.240414094084	297.631366917012	436.667776163985	499.276416466871	278.520903518729	168.158288882826	112.993708808155	56.9500356452917	0	113.900071290584	341.700213871751	735.166057445527	572.193762055788	508.147637180377	482.652245291461	460.728743180723	443.468054191054	431.400011631381	497.609060769596
"B7"	711.653252785372	520.492300077532	436.537474524238	399.683350356254	366.795034356913	339.894086685838	313.955355844674	385.866134533727	613.091829891738	392.369340726594	282.036509991171	226.88928925702	170.850106935875	113.900071290584	0	227.800142581167	830.896713015523	653.082844347399	576.125996375793	542.179078860686	510.140342758953	480.908255450039	440.440786277666	449.492442383629
"B8"	936.967151718778	738.06544798683	644.654153536608	600.294603947095	556.775929998974	514.88253537676	443.141504132584	378.364751661674	840.791444414131	620.123107675314	509.822239711059	454.687199861864	398.650249517042	341.700213871751	227.800142581167	0	1033.47430374441	838.200190593844	746.441428509967	702.714336222685	658.807191661482	615.085179258938	536.27574625332	434.442366718533
"C1"	543.617616068501	647.931233428363	720.683050814989	760.607714757088	803.76068252075	849.995911905463	946.825153164453	1152.68914682147	414.659808156035	524.362485321832	602.509323881382	645.125514871503	689.375763905288	735.166057445527	830.896713015523	1033.47430374441	0	223.129365103645	334.694047655467	390.476388931378	447.672864450023	506.294572836802	623.567775530099	858.176334152836
"C2"	588.258659246273	612.818997131199	654.001797308098	680.558162449683	711.512971431692	746.712670622078	825.408510860464	1006.47044774543	425.588782423702	431.197284615754	474.224188672639	503.493825634436	536.264739557701	572.193762055788	653.082844347399	838.200190593844	223.129365103645	0	111.564682551822	167.347023827734	224.545723744631	283.17924462942	400.482289271324	635.139292054551
"C3"	639.259223004252	625.102614312242	647.476278821085	665.445043576102	688.259021422087	715.865370549519	781.696817537052	944.705268248251	472.289502864504	422.798621760079	439.504452969478	457.717837633138	480.718597089815	508.147637180377	576.125996375793	746.441428509967	334.694047655467	111.564682551822	0	55.7823412759113	112.985448063997	171.635266830567	288.964956125979	523.650270119285
"C4"	670.290545211221	638.507137628251	651.393990460117	664.816487149816	683.198635383753	706.569137232082	765.023055675811	917.357996360321	503.346962547925	429.543329022812	432.01500495186	443.667015789995	460.630684746709	482.652245291461	542.179078860686	702.714336222685	390.476388931378	167.347023827734	55.7823412759113	0	57.211755610189	115.878228025036	233.223274113027	467.919284420816
"C5"	704.187080264581	655.581411785159	658.910123093852	667.611997727888	681.304810247383	700.115360960527	750.462028656717	890.787005842711	538.278778290787	442.346177856212	430.334787824033	434.839836933094	444.98853604809	460.728743180723	510.140342758953	658.807191661482	447.672864450023	224.545723744631	112.985448063997	57.211755610189	0	58.6744895693369	176.023468708011	410.721426985358
"C6"	740.890666984003	676.414581185237	670.27407032646	674.157325098526	682.967515324769	696.939370990045	738.475047621486	865.350779698037	576.811536867979	461.240959176678	435.102170410583	432.131862666427	434.844129812051	443.468054191054	480.908255450039	615.085179258938	506.294572836802	283.17924462942	171.635266830567	115.878228025036	58.6744895693369	0	117.348979138674	352.046937416021
"C7"	821.98189007193	730.542439780804	707.200863816089	701.932270442732	701.168714641174	705.341475853757	728.221016810754	824.711531732695	662.79916659037	517.248063791446	467.142174527437	450.220664767845	438.058023125806	431.400011631381	440.440786277666	536.27574625332	623.567775530099	400.482289271324	288.964956125979	233.223274113027	176.023468708011	117.348979138674	0	234.697958277348
"C8"	1005.85755422923	876.714374874736	827.338639295905	807.325978975036	790.346849570631	776.978453006259	763.447086237736	790.827468731328	857.385447158978	678.067054997431	598.884240654235	563.244835678253	529.273424460363	497.609060769596	449.492442383629	434.442366718533	858.176334152836	635.139292054551	523.650270119285	467.919284420816	410.721426985358	352.046937416021	234.697958277348	0
