Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count,Abs_count_minus_negative
24,T1______7_1_20,1 1:10(1),3272,7/1/20 17:45,954,57109,4.03,3.93
25,T2_____7_15_20,unstained_GTA,3273,7/15/20 16:05,1.1,22,0.05,0
25,T2_____7_15_20,n1,3277,7/15/20 16:06,961,33714,0.284,0.234
25,T2_____7_15_20,n2,3276,7/15/20 16:08,372,7408,0.7,0.65
25,T2_____7_15_20,n3,3275,7/15/20 16:09,760,15149,1.95,1.9
25,T2_____7_15_20,n4,3274,7/15/20 16:10,826,16465,2.6,2.55
25,T2_____7_15_20,n5,3278,7/15/20 16:12,247,4931,0.35,0.3
25,T2_____7_15_20,n1(1),3381,7/15/20 16:13,240,4935,0.292,0.242
25,T2_____7_15_20,37 1:10,3280,7/15/20 16:14,2140,42516,15,14.95
25,T2_____7_15_20,38 1:10,3282,7/15/20 16:15,222,4431,2.1,2.05
25,T2_____7_15_20,38,3283,7/15/20 16:19,641,12800,0.8,0.75
25,T2_____7_15_20,39 1:10,3284,7/15/20 16:20,368,7341,0.3,0.25
25,T2_____7_15_20,39 1:10(1),3382,7/15/20 16:23,376,14388,0.156,0.106
25,T2_____7_15_20,39,3285,7/15/20 16:22,2170,80807,2.51,2.46
25,T2_____7_15_20,40 1:10,3293,7/15/20 16:25,473,9448,0.4,0.35
25,T2_____7_15_20,40 1:5,3383,7/15/20 16:26,441,8810,0.3,0.25
25,T2_____7_15_20,40,3286,7/15/20 16:28,1190,23705,1.7,1.65
25,T2_____7_15_20,41 1:10,3288,7/15/20 16:29,2401,47692,15,14.95
25,T2_____7_15_20,41 1:20,3384,7/15/20 16:31,1219,24291,7.1,7.05
25,T2_____7_15_20,42 1:10,3290,7/15/20 16:32,342,6829,20.8,20.75
25,T2_____7_15_20,43 1:10,3292,7/15/20 16:34,437,8735,0.85,0.8
25,T2_____7_15_20,43 1:5,3385,7/15/20 16:36,1635,32538,8.9,8.85
25,T2_____7_15_20,45 1:10,3297,7/15/20 16:38,501,10000,10.9,10.85
25,T2_____7_15_20,46 1:10,3301,7/15/20 16:39,425,8491,10.7,10.65
25,T2_____7_15_20,47 1:20,3386,7/15/20 16:42,889,17724,7.25,7.2
25,T2_____7_15_20,47 1:10,3303,7/15/20 16:41,1663,33079,11.3,11.25
25,T2_____7_15_20,48 1:10,3305,7/15/20 16:44,736,14705,9.5,9.45
25,T2_____7_15_20,49 1:20,3387,7/15/20 16:47,1635,32550,6.05,6
25,T2_____7_15_20,49 1:10,3307,7/15/20 16:45,3292,65207,11.7,11.65
25,T2_____7_15_20,50  1:20,3388,7/15/20 16:51,1406,28033,10.3,10.25
25,T2_____7_15_20,50  1:10,3310,7/15/20 16:49,2880,57114,22.1,22.05
25,T2_____7_15_20,51 1:10,3313,7/15/20 16:52,1916,38094,3.55,3.5
25,T2_____7_15_20,51 1:20,3389,7/15/20 16:54,995,19851,2.05,2
25,T2_____7_15_20,51 1:20(1),3390,7/15/20 16:55,1049,56581,3.38,3.33
25,T2_____7_15_20,52 1:10,3316,7/15/20 16:59,3104,61576,86.2,86.15
25,T2_____7_15_20,52 1:50,3391,7/15/20 17:01,687,13705,18.3,18.25
25,T2_____7_15_20,53 1:10,3318,7/15/20 16:58,196,3925,0.2,0.15
25,T2_____7_15_20,54 1:10,3321,7/15/20 17:02,455,9096,2.3,2.25
25,T2_____7_15_20,54 1:5,3392,7/15/20 17:04,463,9247,7.25,7.2
25,T2_____7_15_20,55 1:10,3324,7/15/20 17:05,1790,35619,22.8,22.75
25,T2_____7_15_20,55 1:20,3393,7/15/20 17:07,935,18668,12.1,12.05
25,T2_____7_15_20,56 1:10,3328,7/15/20 17:08,249,4977,0.25,0.2
25,T2_____7_15_20,56,3325,7/15/20 17:09,948,18879,0.55,0.5
25,T2_____7_15_20,57 1:20,3394,7/15/20 17:12,930,18544,4.4,4.35
25,T2_____7_15_20,57 1:10,3332,7/15/20 17:10,1955,38885,9.7,9.65
25,T2_____7_15_20,58 1:10,3334,7/15/20 17:13,1520,30244,74.2,74.15
25,T2_____7_15_20,58 1:20,3395,7/15/20 17:14,790,15767,41.2,41.15
25,T2_____7_15_20,59 1:10,3336,7/15/20 17:15,1204,23998,11,10.95
25,T2_____7_15_20,60 1:10,3340,7/15/20 17:17,1394,27762,5.85,5.8
25,T2_____7_15_20,60 1:20 from 10x,3396,7/15/20 17:18,705,14063,4.45,4.4
25,T2_____7_15_20,60 1:20 from 1x,3397,7/15/20 17:19,744,14845,4.65,4.6
25,T2_____7_15_20,61 1:10,3343,7/15/20 17:20,1250,24915,5.65,5.6
25,T2_____7_15_20,62 1:10,3347,7/15/20 17:22,618,12340,36.6,36.55
25,T2_____7_15_20,63 1:10,3349,7/15/20 17:23,1582,31467,9.95,9.9
25,T2_____7_15_20,63 1:20,3398,7/15/20 17:25,758,15145,6.7,6.65
25,T2_____7_15_20,64,3351,7/15/20 17:27,1836,36504,15.2,15.15
25,T2_____7_15_20,64 1:10,3352,7/15/20 17:26,604,12065,0.5,0.45
25,T2_____7_15_20,64 1:2,3399,7/15/20 17:28,979,19524,6.65,6.6
25,T2_____7_15_20,65 1:10,3354,7/15/20 17:30,1499,29852,31,30.95
25,T2_____7_15_20,66 1:10,3356,7/15/20 17:31,1290,25698,8.3,8.25
25,T2_____7_15_20,66 1:10 from 1x,3400,7/15/20 17:33,1322,26307,9.3,9.25
25,T2_____7_15_20,67 1:10,3359,7/15/20 17:34,1189,23694,9.1,9.05
25,T2_____7_15_20,68 1:10,3362,7/15/20 17:35,979,19525,14.5,14.45
25,T2_____7_15_20,69 1:10,3364,7/15/20 17:36,1528,30409,10.4,10.35
25,T2_____7_15_20,69 1:10 from 1x,3401,7/15/20 17:38,1581,31495,11,10.95
25,T2_____7_15_20,70 1:10,3366,7/15/20 17:39,872,17412,13.3,13.25
25,T2_____7_15_20,71 1:10,3368,7/15/20 17:40,2199,43716,9.6,9.55
25,T2_____7_15_20,71 1:25 from 1x,3402,7/15/20 17:42,860,17173,4.8,4.75
25,T2_____7_15_20,72 1:10,3372,7/15/20 17:43,417,8322,2.25,2.2
25,T2_____7_15_20,72 1:5,3404,7/15/20 17:45,556,11099,6.1,6.05
25,T2_____7_15_20,73 1:10,3374,7/15/20 17:46,1342,26726,29.1,29.05
25,T2_____7_15_20,74 1:10,3377,7/15/20 17:48,505,10099,26.5,26.45
25,T2_____7_15_20,75 1:10,3379,7/15/20 17:49,1574,31325,10.3,10.25
25,T2_____7_15_20,75 1:20,3405,7/15/20 17:50,761,15181,4.45,4.4
26,T3_______8_5_20,unstained_GTA,3406,8/5/20 13:43,3.3,65,0,0
26,T3_______8_5_20,n1,3407,8/5/20 13:49,65.5,1292,0.35,0.35
26,T3_______8_5_20,n2,3408,8/5/20 13:51,64.9,1296,0.95,0.95
26,T3_______8_5_20,n3,3409,8/5/20 13:52,52.3,1037,0.2,0.2
26,T3_______8_5_20,n4,3410,8/5/20 13:54,66.6,1331,0.25,0.25
26,T3_______8_5_20,n5,3411,8/5/20 13:55,62.7,1254,0.55,0.55
26,T3_______8_5_20,76 1:10,3413,8/5/20 14:01,2346,46549,21.2,21.2
